id,crime,unemp,pop
26322,482,653,16610
26343,88,514,8951
26344,69,224,10060
26364,18,74,1876
26365,19,148,4998
26366,406,814,34236
26367,33,60,3466
26407,151,371,16893
26463,17,43,2718
26465,135,542,24906
27100,72077,154004,2628811
27140,17246,29079,830966
27202,4000,7953,201000
27203,5754,12264,386623
27204,1245,2983,101616
27205,5664,10675,353885
27206,1616,3435,77673
27207,4381,11629,351826
27208,1562,3406,90314
27209,3188,5623,147465
27210,5790,13771,404044
27211,4644,8301,267961
27212,5191,10614,273487
27213,1936,3859,98889
27214,2109,4105,123837
27215,4194,10543,241816
27216,1282,3235,117239
27217,2766,5589,127276
27218,3411,5355,126504
27219,3485,6301,177856
27220,2064,3172,127135
27221,1149,3137,77034
27222,1992,3925,118695
27223,2692,5892,131706
27224,1609,2985,85009
27225,1083,2074,61127
27226,1253,2429,65780
27227,11945,19247,513821
27228,1300,2422,64683
27229,937,1981,57342
27230,1100,2307,77644
27231,1062,2090,58208
27232,747,2182,57616
27301,218,819,29052
27321,69,648,23928
27322,71,327,12897
27341,307,865,17586
27361,562,1303,44505
27362,180,216,7240
27366,199,665,18504
27381,153,393,14483
27382,165,507,17545
27383,37,190,6538
28100,26987,57200,1525393
28201,10061,16831,536232
28202,11192,17046,462647
28203,5312,9500,291027
28204,8021,12464,465337
28205,419,1356,50030
28206,1246,2311,90590
28207,3733,6512,192250
28208,334,1023,32475
28209,931,2233,89208
28210,5116,8707,267100
28212,572,1550,51794
28213,565,1282,43953
28214,2679,6140,219862
28215,1096,2493,84361
28216,1363,3188,94813
28217,1761,4910,157668
28218,580,1345,49761
28219,1147,2287,113572
28220,453,1601,49396
28221,429,936,45245
28222,150,638,28306
28223,517,1624,70810
28224,330,1168,52283
28225,340,949,34791
28226,404,1266,49078
28227,337,985,43302
28228,656,949,39970
28229,917,2566,81561
28301,232,717,30021
28365,169,574,24304
28381,484,947,31944
28382,558,1252,33545
28442,105,378,14150
28443,271,487,20669
28446,121,256,13077
28464,524,1074,32555
28481,132,489,17603
28501,106,421,21012
28585,129,417,21439
28586,95,355,17467
29201,4276,11283,370102
29202,1219,2995,70800
29203,987,2943,91672
29204,960,2138,71152
29205,1891,3632,124728
29206,630,2406,61130
29207,221,1318,37375
29208,321,1290,32273
29209,945,2931,113686
29210,779,2041,70998
29211,511,1191,34985
29212,166,1188,37183
29322,36,80,4595
29342,123,656,20286
29343,229,735,23062
29344,245,785,27816
29345,34,497,8257
29361,84,409,9174
29362,76,396,7764
29363,340,1048,33029
29385,8,69,2193
29386,9,51,2366
29401,38,239,7914
29402,31,168,6343
29424,256,841,24953
29425,320,640,22751
29426,274,814,32810
29427,194,664,19446
29441,42,274,9984
29442,122,695,20070
29443,29,236,7737
29444,3,32,1076
29446,8,35,1800
29447,0,38,743
29449,13,75,4390
29450,7,8,1212
29451,6,33,802
29452,2,65,2045
29453,18,67,2608
30201,6499,11989,375591
30202,582,1949,57744
30203,825,2155,68529
30204,395,954,32143
30205,363,1045,27053
30206,942,2689,82499
30207,446,1305,33790
30208,949,1972,67862
30209,1051,1587,50834
30304,73,256,11643
30341,265,506,19670
30343,24,129,5516
30344,45,86,4632
30361,170,645,14742
30362,56,248,8071
30366,225,529,28640
30381,61,252,8462
30382,33,207,7344
30383,45,155,7179
30390,45,216,9192
30391,84,298,14200
30392,63,268,11305
30401,257,760,23642
30404,115,540,14775
30406,25,147,5293
30421,142,669,18185
30422,9,94,3506
30424,24,85,3426
30427,4,12,570
30428,138,667,19931
31201,2029,5886,201740
31202,1873,4401,149584
31203,528,1690,52592
31204,344,1277,36459
31302,71,427,13270
31325,10,131,4378
31328,34,306,8647
31329,120,568,19434
31364,35,162,7509
31370,119,459,17525
31371,119,539,19499
31372,152,441,16052
31384,110,88,3073
31386,114,491,18897
31389,49,326,12070
31390,58,297,12343
31401,16,115,6112
31402,23,130,4185
31403,41,74,3643
32201,2105,4794,196603
32202,374,1520,63046
32203,1084,3500,146307
32204,338,1469,52368
32205,191,901,40703
32206,210,958,43839
32207,151,725,27774
32209,180,767,44403
32304,118,361,14193
32343,30,206,15812
32386,22,68,5979
32401,116,604,27444
32441,17,84,4324
32448,17,114,5911
32449,54,169,12944
32501,29,243,9515
32505,37,151,7362
